,GeneName
ENSMUSG00000002210,Smg9
ENSMUSG00000002222,Rmnd5a
ENSMUSG00000002233,Rhoc
ENSMUSG00000002250,Ppard
ENSMUSG00000002265,Peg3
ENSMUSG00000002280,Ciao3
ENSMUSG00000002297,Dbf4
ENSMUSG00000002307,Daxx
ENSMUSG00000002319,Ipo4
ENSMUSG00000002326,Gmpr2
ENSMUSG00000002329,Mdp1
ENSMUSG00000002341,Ncan
ENSMUSG00000002342,Tmem161a
ENSMUSG00000002343,Armc6
ENSMUSG00000002345,Borcs8
ENSMUSG00000002346,Slc25a42
ENSMUSG00000002372,Ranbp3
ENSMUSG00000002379,Ndufa11
ENSMUSG00000002393,Nr2f6
ENSMUSG00000002395,Use1
ENSMUSG00000002396,Ocel1
ENSMUSG00000002413,Braf
ENSMUSG00000002416,Ndufb2
ENSMUSG00000002428,Hltf
ENSMUSG00000002458,Rgs19
ENSMUSG00000002477,Snrpd1
ENSMUSG00000002489,Tiam1
ENSMUSG00000002496,Tsc2
ENSMUSG00000002504,Slc9a3r2
ENSMUSG00000002524,Puf60
ENSMUSG00000002550,Uck1
ENSMUSG00000002578,Ikzf4
ENSMUSG00000002580,Mien1
ENSMUSG00000002608,Ccdc97
ENSMUSG00000002617,Zfp40
ENSMUSG00000002635,Pdcd2l
ENSMUSG00000002658,Gtf2f1
ENSMUSG00000002660,Clpp
ENSMUSG00000002661,Alkbh7
ENSMUSG00000002728,Naa20
ENSMUSG00000002733,Plekha3
ENSMUSG00000002741,Ykt6
ENSMUSG00000002763,Pex6
ENSMUSG00000002768,Mea1
ENSMUSG00000002778,Kdelr1
ENSMUSG00000002797,Ggct
ENSMUSG00000002803,Btbd6
ENSMUSG00000002804,Nudt14
ENSMUSG00000002808,Epdr1
ENSMUSG00000002814,Top3a
ENSMUSG00000002820,Atg4d
ENSMUSG00000002833,Hdgfl2
ENSMUSG00000002844,Adprh
ENSMUSG00000002881,Nab1
ENSMUSG00000002908,Kcnn1
ENSMUSG00000002957,Ap2a2
ENSMUSG00000002963,Pnkp
ENSMUSG00000002968,Med25
ENSMUSG00000002981,Clptm1
ENSMUSG00000002984,Tomm40
ENSMUSG00000002996,Hbp1
ENSMUSG00000002997,Prkar2b
ENSMUSG00000003031,Cdkn1b
ENSMUSG00000003033,Ap1m1
ENSMUSG00000003037,Rab8a
ENSMUSG00000003038,Hmgn2
ENSMUSG00000003039,Fam32a
ENSMUSG00000003062,Stard3nl
ENSMUSG00000003068,Stk11
ENSMUSG00000003070,Efna2
ENSMUSG00000003072,Atp5d
ENSMUSG00000003099,Ppp5c
ENSMUSG00000003131,Pafah1b2
ENSMUSG00000003135,Cnot11
ENSMUSG00000003153,Slc2a3
ENSMUSG00000003154,Foxj2
ENSMUSG00000003166,Dgcr2
ENSMUSG00000003199,Mpnd
ENSMUSG00000003208,Yju2
ENSMUSG00000003233,Dvl3
ENSMUSG00000003234,Abcf3
ENSMUSG00000003235,Eif2b5
ENSMUSG00000003269,Cyth2
ENSMUSG00000003273,Car11
ENSMUSG00000003279,Dlgap1
ENSMUSG00000003299,Mrpl4
ENSMUSG00000003308,Keap1
ENSMUSG00000003316,Glg1
ENSMUSG00000003344,Btbd2
ENSMUSG00000003345,Csnk1g2
ENSMUSG00000003346,Abhd17a
ENSMUSG00000003348,Mob3a
ENSMUSG00000003352,Cacnb3
ENSMUSG00000003360,Ddx23
ENSMUSG00000003363,Pld3
ENSMUSG00000003378,Grik5
ENSMUSG00000003380,Rabac1
ENSMUSG00000003382,Etv3
ENSMUSG00000003402,Prkcsh
ENSMUSG00000003410,Elavl3
ENSMUSG00000003411,Rab3b
ENSMUSG00000003423,Pih1d1
ENSMUSG00000003429,Rps11
ENSMUSG00000003438,Timm50
ENSMUSG00000003444,Med29
ENSMUSG00000003452,Bicd1
ENSMUSG00000003464,Pex19
ENSMUSG00000003469,Phyhip
ENSMUSG00000003500,Impdh1
ENSMUSG00000003518,Dusp3
ENSMUSG00000003528,Slc25a1
ENSMUSG00000003531,Dgcr6
ENSMUSG00000003534,Ddr1
ENSMUSG00000003575,Crtc1
ENSMUSG00000003604,Aven
ENSMUSG00000003662,Ciao1
ENSMUSG00000003731,Kpna6
ENSMUSG00000003752,Itpkc
ENSMUSG00000003762,Coq8b
ENSMUSG00000003808,Farsa
ENSMUSG00000003812,Dnase2a
ENSMUSG00000003813,Rad23a
ENSMUSG00000003824,Syce2
ENSMUSG00000003863,Ppfia3
ENSMUSG00000003865,Gys1
ENSMUSG00000003872,Lin7b
ENSMUSG00000003873,Bax
ENSMUSG00000003923,Tfam
ENSMUSG00000003929,Zfp81
ENSMUSG00000003934,Efnb3
ENSMUSG00000003948,Mmd
ENSMUSG00000003955,Fam162a
ENSMUSG00000003970,Rpl8
ENSMUSG00000003992,Ssbp2
ENSMUSG00000004032,Gstm5
ENSMUSG00000004054,Map3k11
ENSMUSG00000004056,Akt2
ENSMUSG00000004069,Dnaja3
ENSMUSG00000004070,Hmox2
ENSMUSG00000004071,Cdip1
ENSMUSG00000004110,Cacna1e
ENSMUSG00000004151,Etv1
ENSMUSG00000004207,Psap
ENSMUSG00000004264,Phb2
ENSMUSG00000004267,Eno2
ENSMUSG00000004268,Emg1
ENSMUSG00000004285,Atp6v1f
ENSMUSG00000004360,9330159F19Rik
ENSMUSG00000004364,Cul3
ENSMUSG00000004383,Large1
ENSMUSG00000004451,Ralb
ENSMUSG00000004455,Ppp1cc
ENSMUSG00000004508,Gab2
ENSMUSG00000004530,Coro1c
ENSMUSG00000004535,Tax1bp1
ENSMUSG00000004558,Ndrg2
ENSMUSG00000004562,Arhgef40
ENSMUSG00000004565,Pnpla6
ENSMUSG00000004630,Pcp2
ENSMUSG00000004633,Chn2
ENSMUSG00000004642,Slbp
ENSMUSG00000004651,Tyr
ENSMUSG00000004665,Cnn2
ENSMUSG00000004667,Polr2e
ENSMUSG00000004698,Hdac9
ENSMUSG00000004748,Mtfp1
ENSMUSG00000004768,Rab23
ENSMUSG00000004771,Rab11a
ENSMUSG00000004789,Dlst
ENSMUSG00000004791,Pgf
ENSMUSG00000004843,Chmp2b
ENSMUSG00000004846,Plod3
ENSMUSG00000004849,Ap1s1
ENSMUSG00000004865,Srpk1
ENSMUSG00000004896,Rrnad1
ENSMUSG00000004897,Hdgf
ENSMUSG00000004933,Matk
ENSMUSG00000004934,Pias4
ENSMUSG00000004937,Sgta
ENSMUSG00000004945,Tmem242
ENSMUSG00000004980,Hnrnpa2b1
ENSMUSG00000004994,Ccdc130
ENSMUSG00000005034,Prkacb
ENSMUSG00000005045,Chd5
ENSMUSG00000005078,Jkamp
ENSMUSG00000005089,Slc1a2
ENSMUSG00000005103,Wdr1
ENSMUSG00000005125,Ndrg1
ENSMUSG00000005150,Wdr83
ENSMUSG00000005161,Prdx2
ENSMUSG00000005204,Senp3
ENSMUSG00000005225,Plekha8
ENSMUSG00000005233,Spc25
ENSMUSG00000005262,Ufd1
ENSMUSG00000005267,Zfp287
ENSMUSG00000005338,Cadm3
ENSMUSG00000005354,Txn2
ENSMUSG00000005362,Crbn
ENSMUSG00000005374,Tbl2
ENSMUSG00000005378,Bud23
ENSMUSG00000005417,Mprip
ENSMUSG00000005442,Cic
ENSMUSG00000005447,Pafah1b3
ENSMUSG00000005469,Prkaca
ENSMUSG00000005481,Ddx39a
ENSMUSG00000005483,Dnajb1
ENSMUSG00000005505,Kbtbd4
ENSMUSG00000005506,Celf1
ENSMUSG00000005510,Ndufs3
ENSMUSG00000005533,Igf1r
ENSMUSG00000005534,Insr
ENSMUSG00000005575,Ube2m
ENSMUSG00000005583,Mef2c
ENSMUSG00000005609,Ctr9
ENSMUSG00000005610,Eif4g2
ENSMUSG00000005615,Pcyt1a
ENSMUSG00000005621,Zfp592
ENSMUSG00000005625,Psmd4
ENSMUSG00000005656,Snx6
ENSMUSG00000005667,Mthfd2
ENSMUSG00000005674,Tomm40l
ENSMUSG00000005677,Nr1i3
ENSMUSG00000005681,Apoa2
ENSMUSG00000005683,Cs
ENSMUSG00000005687,Bcas2
ENSMUSG00000005698,Ctcf
ENSMUSG00000005699,Pard6a
ENSMUSG00000005732,Ranbp1
ENSMUSG00000005779,Psmb4
ENSMUSG00000005804,Bloc1s6
ENSMUSG00000005813,Metap1
ENSMUSG00000005823,Gpr108
ENSMUSG00000005871,Apc
ENSMUSG00000005873,Reep5
ENSMUSG00000005882,Uqcc1
ENSMUSG00000005893,Nr2c2
ENSMUSG00000005899,Smpd4
ENSMUSG00000005936,Kctd20
ENSMUSG00000005973,Rcn1
ENSMUSG00000005982,Naa60
ENSMUSG00000005983,1700037C18Rik
ENSMUSG00000006005,Tpr
ENSMUSG00000006010,Odr4
ENSMUSG00000006024,Napa
ENSMUSG00000006050,Sra1
ENSMUSG00000006057,Atp5g1
ENSMUSG00000006058,Snf8
ENSMUSG00000006095,Tbcb
ENSMUSG00000006169,Clint1
ENSMUSG00000006218,Fam131c
ENSMUSG00000006219,Fblim1
ENSMUSG00000006262,Mob1b
ENSMUSG00000006273,Atp6v1b2
ENSMUSG00000006288,Ttc5
ENSMUSG00000006289,Osgep
ENSMUSG00000006299,Aamp
ENSMUSG00000006304,Arpc2
ENSMUSG00000006315,Tmem147
ENSMUSG00000006333,Rps9
ENSMUSG00000006335,Tfpt
ENSMUSG00000006356,Crip2
ENSMUSG00000006362,Cbfa2t3
ENSMUSG00000006378,Gcat
ENSMUSG00000006390,Elovl1
ENSMUSG00000006392,Med8
ENSMUSG00000006395,Hyi
ENSMUSG00000006412,Pfdn2
ENSMUSG00000006418,Rnf114
ENSMUSG00000006423,Steep1
ENSMUSG00000006435,Neurl1a
ENSMUSG00000006442,Srm
ENSMUSG00000006463,Zdhhc24
ENSMUSG00000006464,Bbs1
ENSMUSG00000006476,Nsmf
ENSMUSG00000006494,Pdk1
ENSMUSG00000006517,Mvd
ENSMUSG00000006526,Stimate
ENSMUSG00000006575,Rundc3a
ENSMUSG00000006576,Slc4a3
ENSMUSG00000006586,Runx1t1
ENSMUSG00000006589,Aprt
ENSMUSG00000006599,Gtf2h1
ENSMUSG00000006651,Aplp1
ENSMUSG00000006673,Qrich1
ENSMUSG00000006676,Usp19
ENSMUSG00000006699,Cdc42
ENSMUSG00000006705,Pknox1
ENSMUSG00000006728,Cdk4
ENSMUSG00000006731,B4galnt1
ENSMUSG00000006736,Tspan31
ENSMUSG00000006740,Kif5b
ENSMUSG00000006763,Saal1
ENSMUSG00000006818,Sod2
ENSMUSG00000006906,Stambp
ENSMUSG00000006920,Ezh1
ENSMUSG00000006932,Ctnnb1
ENSMUSG00000006941,Eif1b
ENSMUSG00000006998,Psmd2
ENSMUSG00000007021,Syngr3
ENSMUSG00000007038,Neu1
ENSMUSG00000007039,Ddah2
ENSMUSG00000007041,Clic1
ENSMUSG00000007050,Lsm2
ENSMUSG00000007207,Stx1a
ENSMUSG00000007216,Zfp775
ENSMUSG00000007411,Mark3
ENSMUSG00000007415,Gatad1
ENSMUSG00000007440,Pcdha10
ENSMUSG00000007476,Lrrc8a
ENSMUSG00000007570,Fance
ENSMUSG00000007589,Tinf2
ENSMUSG00000007603,Dus3l
ENSMUSG00000007617,Homer1
ENSMUSG00000007656,Arpp19
ENSMUSG00000007659,Bcl2l1
ENSMUSG00000007721,Ccdc124
ENSMUSG00000007739,Cct4
ENSMUSG00000007783,Cpt1c
ENSMUSG00000007812,Zfp655
ENSMUSG00000007817,Zmiz1
ENSMUSG00000007836,Hnrnpa0
ENSMUSG00000007877,Tcap
ENSMUSG00000007880,Arid1a
ENSMUSG00000007888,Crlf1
ENSMUSG00000007892,Rplp1
ENSMUSG00000007944,Ttc9b
ENSMUSG00000007950,Abhd8
ENSMUSG00000007987,Ift22
ENSMUSG00000007989,Fzd3
ENSMUSG00000008028,1700008O03Rik
ENSMUSG00000008035,Mid1ip1
ENSMUSG00000008036,Ap2s1
ENSMUSG00000008140,Emc10
ENSMUSG00000008167,Fbxw9
ENSMUSG00000008206,Cers4
ENSMUSG00000008301,Phax
ENSMUSG00000008318,Relt
ENSMUSG00000008348,Ubc
ENSMUSG00000008373,Prpf31
ENSMUSG00000008429,Herpud2
ENSMUSG00000008435,Rdh13
ENSMUSG00000008450,Nutf2
ENSMUSG00000008475,Arpc5
ENSMUSG00000008489,Elavl2
ENSMUSG00000008496,Pou2f2
ENSMUSG00000008575,Nfib
ENSMUSG00000008604,Ubqln4
ENSMUSG00000008658,Rbfox1
ENSMUSG00000008668,Rps18
ENSMUSG00000008682,Rpl10
ENSMUSG00000008683,Rps15a
ENSMUSG00000008763,Man1a2
ENSMUSG00000008855,Hdac5
ENSMUSG00000008859,Rala
ENSMUSG00000009013,Dynll1
ENSMUSG00000009035,Tmem184b
ENSMUSG00000009076,Zmat5
ENSMUSG00000009090,Ap1b1
ENSMUSG00000009112,Bcl2l13
ENSMUSG00000009216,Fam163b
ENSMUSG00000009292,Trpm2
ENSMUSG00000009293,Ube2g2
ENSMUSG00000009376,Met
ENSMUSG00000009394,Syn2
ENSMUSG00000009418,Nav1
ENSMUSG00000009549,Srp14
ENSMUSG00000009569,Mrtfb
ENSMUSG00000009575,Cbx5
ENSMUSG00000009630,Ppp2cb
ENSMUSG00000009640,Dmap1
ENSMUSG00000009647,Mcu
ENSMUSG00000009681,Bcr
ENSMUSG00000009687,Fxyd5
ENSMUSG00000009739,Pou6f1
ENSMUSG00000009863,Sdhb
ENSMUSG00000009894,Snap47
ENSMUSG00000009905,Kdsr
ENSMUSG00000009927,Rps25
ENSMUSG00000010045,Tmem115
ENSMUSG00000010054,Tusc2
ENSMUSG00000010057,Nprl2
ENSMUSG00000010066,Cacna2d2
ENSMUSG00000010067,Rassf1
ENSMUSG00000010086,Rnf112
ENSMUSG00000010110,Stx5a
ENSMUSG00000010290,AI597479
ENSMUSG00000010376,Nedd8
ENSMUSG00000010392,Gosr1
ENSMUSG00000010406,Mrpl52
ENSMUSG00000010453,Kansl3
ENSMUSG00000010538,Tsacc
ENSMUSG00000010607,Pigyl
ENSMUSG00000010609,Psen2
ENSMUSG00000010651,Acaa1b
ENSMUSG00000010663,Fads1
ENSMUSG00000010721,Lmbr1
ENSMUSG00000010803,Gabra1
ENSMUSG00000010911,Apip
ENSMUSG00000010936,Vac14
ENSMUSG00000011096,Akt1s1
ENSMUSG00000011114,Tbrg1
ENSMUSG00000011158,Brf1
ENSMUSG00000011179,Odc1
ENSMUSG00000011257,Pabpc4
ENSMUSG00000011263,Exoc3l2
ENSMUSG00000011306,Sugp1
ENSMUSG00000011382,Dhdh
ENSMUSG00000011589,Fsd1
ENSMUSG00000011751,Sptbn4
ENSMUSG00000011752,Pgam1
ENSMUSG00000011832,Evi5l
ENSMUSG00000011837,Snapc2
ENSMUSG00000011884,Gltp
ENSMUSG00000011958,Bnip2
ENSMUSG00000011960,Ccnt1
ENSMUSG00000012076,Brms1l
ENSMUSG00000012114,Med15
ENSMUSG00000012117,Dhdds
ENSMUSG00000012123,Crybg2
ENSMUSG00000012405,Rpl15
ENSMUSG00000012422,Tmem167
ENSMUSG00000012535,Tnpo3
ENSMUSG00000012777,Acp4
ENSMUSG00000012848,Rps5
ENSMUSG00000013033,Adgrl1
ENSMUSG00000013076,Amotl1
ENSMUSG00000013089,Etv5
ENSMUSG00000013150,Gfod2
ENSMUSG00000013155,Enkd1
ENSMUSG00000013160,Atp6v0d1
ENSMUSG00000013236,Ptprs
ENSMUSG00000013419,Zfp651
ENSMUSG00000013465,Nelfb
ENSMUSG00000013539,Tango2
ENSMUSG00000013593,Ndufs2
ENSMUSG00000013622,Atraid
ENSMUSG00000013662,Atad1
ENSMUSG00000013663,Pten
ENSMUSG00000013698,Pea15a
ENSMUSG00000013701,Timm23
ENSMUSG00000013736,Trnt1
ENSMUSG00000013787,Ehmt2
ENSMUSG00000013822,Elof1
ENSMUSG00000013833,Med16
ENSMUSG00000013858,Tmem259
ENSMUSG00000013878,Rnf170
ENSMUSG00000013921,Clip3
ENSMUSG00000013973,Dedd
ENSMUSG00000013997,Nit1
ENSMUSG00000014074,Rnf168
ENSMUSG00000014077,Chp1
ENSMUSG00000014164,Klhl3
ENSMUSG00000014195,Dnajc7
ENSMUSG00000014226,Cacybp
ENSMUSG00000014243,Zswim7
ENSMUSG00000014294,Ndufa2
ENSMUSG00000014301,Pam16
ENSMUSG00000014303,Glis2
ENSMUSG00000014313,Cox6c
ENSMUSG00000014349,Ube2z
ENSMUSG00000014402,Tsg101
ENSMUSG00000014426,Map3k4
ENSMUSG00000014444,Piezo1
ENSMUSG00000014470,Rnf166
ENSMUSG00000014498,Ankrd52
ENSMUSG00000014503,Pkd2l2
ENSMUSG00000014504,Srp19
ENSMUSG00000014547,Wdfy2
ENSMUSG00000014550,Rbsn
ENSMUSG00000014551,Mrps25
ENSMUSG00000014592,Camta1
ENSMUSG00000014601,Strip1
ENSMUSG00000014602,Kif1a
ENSMUSG00000014606,Slc25a11
ENSMUSG00000014633,Cmc2
ENSMUSG00000014668,Chfr
ENSMUSG00000014748,Tex261
ENSMUSG00000014769,Psmb1
ENSMUSG00000014776,Nol3
ENSMUSG00000014837,4931428F04Rik
ENSMUSG00000014846,Tppp3
ENSMUSG00000014852,Adamts13
ENSMUSG00000014856,Tmem208
ENSMUSG00000014867,Surf4
ENSMUSG00000014905,Dnajb9
ENSMUSG00000014956,Ppp1cb
ENSMUSG00000014959,Gorasp2
ENSMUSG00000015002,Efr3a
ENSMUSG00000015013,Trappc2l
ENSMUSG00000015016,Acsf3
ENSMUSG00000015023,Ddx19a
ENSMUSG00000015085,Entpd2
ENSMUSG00000015087,Rabl6
ENSMUSG00000015092,Edf1
ENSMUSG00000015094,Npdc1
ENSMUSG00000015095,Fbxw5
ENSMUSG00000015127,Unkl
ENSMUSG00000015134,Aldh1a3
ENSMUSG00000015143,Actn1
ENSMUSG00000015165,Hnrnpl
ENSMUSG00000015176,Nolc1
ENSMUSG00000015217,Hmgb3
ENSMUSG00000015222,Map2
ENSMUSG00000015289,Lage3
ENSMUSG00000015290,Ubl4a
ENSMUSG00000015291,Gdi1
ENSMUSG00000015312,Gadd45b
ENSMUSG00000015316,Slamf1
ENSMUSG00000015337,Endog
ENSMUSG00000015341,Golga7
ENSMUSG00000015363,Trabd
ENSMUSG00000015474,Ppt2
ENSMUSG00000015476,Prrt1
ENSMUSG00000015478,Rnf5
ENSMUSG00000015484,Fam163a
ENSMUSG00000015488,Cacfd1
ENSMUSG00000015536,Mocs2
ENSMUSG00000015542,Nat9
ENSMUSG00000015599,Ttbk1
ENSMUSG00000015656,Hspa8
ENSMUSG00000015672,Mrpl32
ENSMUSG00000015733,Capza2
ENSMUSG00000015747,Vps45
ENSMUSG00000015748,Prpf3
ENSMUSG00000015749,Anp32e
ENSMUSG00000015750,Aph1a
ENSMUSG00000015755,Tab2
ENSMUSG00000015757,Ppil4
ENSMUSG00000015759,Cnih1
ENSMUSG00000015766,Eps8
ENSMUSG00000015776,Med22
ENSMUSG00000015790,Surf1
ENSMUSG00000015804,Med28
ENSMUSG00000015829,Tnr
ENSMUSG00000015837,Sqstm1
ENSMUSG00000015869,Prpsap1
ENSMUSG00000015889,Lta4h
ENSMUSG00000015932,Dstn
ENSMUSG00000015937,Macroh2a1
ENSMUSG00000015942,Gtf2ird2
ENSMUSG00000015943,Bola1
ENSMUSG00000015944,Castor2
ENSMUSG00000015971,Actr8
ENSMUSG00000015981,Stk32c
ENSMUSG00000016018,Mtrex
ENSMUSG00000016252,Atp5e
ENSMUSG00000016253,Nelfcd
ENSMUSG00000016256,Ctsz
ENSMUSG00000016257,Prelid3b
ENSMUSG00000016262,Sertad4
ENSMUSG00000016319,Slc25a5
ENSMUSG00000016344,Ppdpf
ENSMUSG00000016346,Kcnq2
ENSMUSG00000016349,Eef1a2
ENSMUSG00000016386,Mpped2
ENSMUSG00000016427,Ndufa1
ENSMUSG00000016477,E2f3
ENSMUSG00000016481,Cr1l
ENSMUSG00000016503,Gtf3a
ENSMUSG00000016510,Mtif3
ENSMUSG00000016534,Lamp2
ENSMUSG00000016541,Atxn10
ENSMUSG00000016554,Eif3d
ENSMUSG00000016559,H3f3b
ENSMUSG00000016619,Nup50
ENSMUSG00000016637,Ift27
ENSMUSG00000016757,Ttll12
ENSMUSG00000016831,Tox4
ENSMUSG00000016833,Mrps18c
ENSMUSG00000016921,Srsf6
ENSMUSG00000016940,Kctd2
ENSMUSG00000016946,Kctd5
ENSMUSG00000017132,Cyth1
ENSMUSG00000017167,Cntnap1
ENSMUSG00000017176,Nt5c3b
ENSMUSG00000017188,Coa3
ENSMUSG00000017210,Med24
ENSMUSG00000017211,Gsdma2
ENSMUSG00000017288,Vps53
ENSMUSG00000017291,Taok1
ENSMUSG00000017299,Dnttip1
ENSMUSG00000017307,Acot8
ENSMUSG00000017376,Nlk
ENSMUSG00000017404,Rpl19
ENSMUSG00000017405,Nek8
ENSMUSG00000017412,Cacnb4
ENSMUSG00000017418,Arl5b
ENSMUSG00000017421,Zfp207
ENSMUSG00000017428,Psmd11
ENSMUSG00000017466,Timp2
ENSMUSG00000017478,Zc3h18
ENSMUSG00000017485,Top2b
ENSMUSG00000017548,Suz12
ENSMUSG00000017615,Tnfaip1
ENSMUSG00000017631,Abr
ENSMUSG00000017639,Rab11fip4
ENSMUSG00000017670,Elmo2
ENSMUSG00000017679,Ttpal
ENSMUSG00000017715,Pgs1
ENSMUSG00000017718,Afmid
ENSMUSG00000017734,Dbndd2
ENSMUSG00000017740,Slc12a5
ENSMUSG00000017760,Ctsa
ENSMUSG00000017764,Zswim1
ENSMUSG00000017767,Spata25
ENSMUSG00000017776,Crk
ENSMUSG00000017781,Pitpna
ENSMUSG00000017831,Rab5a
ENSMUSG00000017837,Nkiras2
ENSMUSG00000017843,Ppp2r5c
ENSMUSG00000017858,Ift52
ENSMUSG00000017943,Gdap1l1
ENSMUSG00000017969,Ptgis
ENSMUSG00000017999,Ddx27
ENSMUSG00000018012,Rac3
ENSMUSG00000018040,Rrp7a
ENSMUSG00000018042,Cyb5r3
ENSMUSG00000018076,Med13l
ENSMUSG00000018102,H2bc4
ENSMUSG00000018126,Baiap2l2
ENSMUSG00000018160,Med1
ENSMUSG00000018167,Stard3
ENSMUSG00000018189,Uchl5
ENSMUSG00000018196,Glrx2
ENSMUSG00000018199,Ro60
ENSMUSG00000018209,Stk4
ENSMUSG00000018238,Gdf9
ENSMUSG00000018239,Zcchc10
ENSMUSG00000018286,Psmb6
ENSMUSG00000018287,Spag7
ENSMUSG00000018293,Pfn1
ENSMUSG00000018326,Ywhab
ENSMUSG00000018341,Il12rb2
ENSMUSG00000018347,Zkscan6
